,Crash ID,State,YYYYMM,Day of week,Time,Crash Type,Bus Involvement,Heavy Rigid Truck Involvement,Articulated Truck Involvement,Road User,Gender,Age,Speed,Driving experience,National Remoteness Areas,SA4 Name 2016,National LGA Name 2017,National Road Type,Christmas Period,Easter Period,Age Group,Time of day
4201,20175130,WA,2017-09,Friday,16:07:00,Single,No,No,No,Motorcycle rider,Male,22,138,8,Major Cities of Australia,Perth - Inner,Mosman Park (T),National or State Highway,No,No,17_to_25,Day
4202,20171234,NSW,2017-09,Friday,15:40:00,Multiple,No,No,No,Car driver,Male,43,77,14,Inner Regional Australia,Mid North Coast,Port Macquarie-Hastings,Arterial Road,No,No,40_to_64,Day
4203,20171077,NSW,2017-09,Friday,14:30:00,Single,No,No,No,Car driver,Female,44,106,11,Inner Regional Australia,Riverina,Cootamundra-Gundagai,Arterial Road,No,No,40_to_64,Day
4204,20171139,NSW,2017-09,Friday,13:20:00,Multiple,No,Yes,No,Motorcycle rider,Male,46,36,13,Major Cities of Australia,Sydney - Eastern Suburbs,Waverley,Arterial Road,No,No,40_to_64,Day
4205,20174060,SA,2017-09,Tuesday,13:27:00,Multiple,No,No,No,Motorcycle rider,Male,58,113,29,Inner Regional Australia,South Australia - South East,Murray Bridge (RC),National or State Highway,No,No,40_to_64,Day
4206,20171211,NSW,2017-09,Thursday,15:10:00,Multiple,No,No,No,Motorcycle rider,Male,64,114,27,Inner Regional Australia,Hunter Valley exc Newcastle,Cessnock,Arterial Road,No,No,40_to_64,Day
4207,20175102,WA,2017-09,Wednesday,17:15:00,Single,No,No,No,Car driver,Male,56,107,27,Major Cities of Australia,Perth - South West,Rockingham (C),National or State Highway,No,No,40_to_64,Day
4208,20172006,Vic,2017-09,Monday,16:45:00,Multiple,No,No,No,Car driver,Female,40,134,13,Inner Regional Australia,Hume,Mitchell (S),National or State Highway,No,No,40_to_64,Day
4209,20172215,Vic,2017-09,Monday,17:50:00,Multiple,No,No,Yes,Car driver,Male,44,136,12,Inner Regional Australia,Warrnambool and South West,Colac-Otway (S),National or State Highway,No,No,40_to_64,Day
4210,20174073,SA,2017-09,Wednesday,7:40:00,Single,No,No,No,Car driver,Male,55,75,26,Inner Regional Australia,Barossa - Yorke - Mid North,Barossa (DC),Arterial Road,No,No,40_to_64,Day
4211,20171338,NSW,2017-09,Tuesday,8:50:00,Multiple,No,No,Yes,Car passenger,Female,72,20,44,Inner Regional Australia,Mid North Coast,Port Macquarie-Hastings,National or State Highway,No,No,65_to_74,Day
4212,20172128,Vic,2017-09,Friday,10:40:00,Multiple,No,No,No,Car driver,Male,69,98,30,Inner Regional Australia,Shepparton,Greater Shepparton (C),Arterial Road,No,No,65_to_74,Day
4213,20175088,WA,2017-09,Friday,15:29:00,Single,No,No,No,Car driver,Male,69,88,28,Inner Regional Australia,Bunbury,Capel (S),Arterial Road,No,No,65_to_74,Day
4214,20175059,WA,2017-09,Monday,15:49:00,Multiple,No,Yes,Yes,Car passenger,Male,66,0,29,Major Cities of Australia,Perth - South West,Cockburn (C),Arterial Road,No,No,65_to_74,Day
4215,20171119,NSW,2017-09,Friday,12:30:00,Multiple,No,Yes,No,Car driver,Male,34,127,15,Major Cities of Australia,Sydney - Baulkham Hills and Hawkesbury,Hawkesbury,Arterial Road,No,No,26_to_39,Day
4216,20175028,WA,2017-09,Wednesday,13:40:00,Single,No,No,No,Car driver,Female,64,117,28,Inner Regional Australia,Bunbury,Harvey (S),Local Road,No,No,40_to_64,Day
4217,20171279,NSW,2017-09,Saturday,19:15:00,Single,No,No,No,Pedestrian,Male,81,20,41,Inner Regional Australia,Far West and Orana,Dubbo Regional,National or State Highway,No,No,75_or_older,Night
4218,20171276,NSW,2017-09,Sunday,4:40:00,Single,No,No,No,Pedestrian,Female,19,0,5,Major Cities of Australia,Sydney - Inner South West,Canterbury-Bankstown,Arterial Road,No,No,17_to_25,Night
4219,20175037,WA,2017-09,Friday,19:30:00,Single,No,No,No,Pedestrian,Female,39,20,15,Very Remote Australia,Western Australia - Outback (North),Derby-West Kimberley (S),National or State Highway,No,No,26_to_39,Night
4220,20171169,NSW,2017-09,Thursday,18:57:00,Single,No,No,No,Pedestrian,Male,54,20,26,Major Cities of Australia,Sydney - North Sydney and Hornsby,Hornsby,National or State Highway,No,No,40_to_64,Night
4221,20177014,NT,2017-09,Friday,20:09:00,Single,No,No,No,Pedestrian,Male,41,0,14,Outer Regional Australia,Darwin,Palmerston (C),Arterial Road,No,No,40_to_64,Night
4222,20171163,NSW,2017-09,Friday,20:50:00,Single,No,Yes,No,Pedestrian,Male,62,0,27,Inner Regional Australia,Coffs Harbour - Grafton,Clarence Valley,Arterial Road,No,No,40_to_64,Night
4223,20171272,NSW,2017-09,Thursday,9:54:00,Single,No,No,No,Pedestrian,Female,78,0,42,Major Cities of Australia,Illawarra,Shellharbour,Collector Road,No,No,75_or_older,Day
4224,20174026,SA,2017-09,Monday,0:25:00,Single,No,No,No,Car driver,Male,71,150,42,Inner Regional Australia,Adelaide - North,Playford (C),National or State Highway,No,No,65_to_74,Night
4225,20172125,Vic,2017-09,Thursday,16:40:00,Single,Yes,No,No,Pedestrian,Male,67,0,27,Major Cities of Australia,Melbourne - Inner South,Kingston (C) (Vic.),Arterial Road,No,No,65_to_74,Day
4226,20175008,WA,2017-09,Monday,19:50:00,Single,No,No,No,Pedestrian,Female,86,20,44,Major Cities of Australia,Perth - North West,Stirling (C),National or State Highway,No,No,75_or_older,Night
4227,20171224,NSW,2017-09,Tuesday,18:22:00,Single,No,No,No,Car driver,Male,69,84,27,Major Cities of Australia,Central Coast,Central Coast,Local Road,No,No,65_to_74,Night
4228,20171133,NSW,2017-09,Thursday,20:00:00,Multiple,No,No,No,Car driver,Male,42,107,14,Major Cities of Australia,Illawarra,Wollongong,Collector Road,No,No,40_to_64,Night
4229,20172043,Vic,2017-09,Sunday,14:08:00,Multiple,No,No,No,Car driver,Female,77,58,41,Inner Regional Australia,Latrobe - Gippsland,Bass Coast (S),National or State Highway,No,No,75_or_older,Day
4230,20172087,Vic,2017-09,Sunday,16:45:00,Multiple,No,No,No,Car passenger,Female,15,20,4,Outer Regional Australia,Latrobe - Gippsland,East Gippsland (S),National or State Highway,No,No,0_to_16,Day
4231,20171068,NSW,2017-08,Saturday,22:45:00,Single,No,No,No,Car passenger,Female,19,0,4,Outer Regional Australia,New England and North West,Glen Innes Severn,Sub-Arterial Road,No,No,17_to_25,Night
4232,20172066,Vic,2017-08,Sunday,0:28:00,Single,No,No,No,Other vehicle driver,Male,21,101,7,Outer Regional Australia,North West,Gannawarra (S),Arterial Road,No,No,17_to_25,Night
4233,20172066,Vic,2017-08,Sunday,0:28:00,Single,No,No,No,Other vehicle driver,Male,21,81,8,Outer Regional Australia,North West,Gannawarra (S),Arterial Road,No,No,17_to_25,Night
4234,20172066,Vic,2017-08,Sunday,0:28:00,Single,No,No,No,Car driver,Male,21,104,6,Outer Regional Australia,North West,Gannawarra (S),Arterial Road,No,No,17_to_25,Night
4235,20171082,NSW,2017-08,Saturday,5:12:00,Single,No,No,No,Car passenger,Female,19,0,2,Outer Regional Australia,Central West,Bland,Arterial Road,No,No,17_to_25,Night
4236,20171086,NSW,2017-08,Monday,3:00:00,Single,No,No,No,Car driver,Male,20,146,3,Inner Regional Australia,Sydney - Sutherland,Sutherland,Arterial Road,No,No,17_to_25,Night
4237,20172168,Vic,2017-08,Saturday,20:00:00,Single,No,No,No,Car driver,Male,27,97,4,Inner Regional Australia,Latrobe - Gippsland,Wellington (S),Arterial Road,No,No,26_to_39,Night
4238,20172109,Vic,2017-08,Friday,18:30:00,Multiple,No,No,No,Car passenger,Female,87,0,41,Major Cities of Australia,Melbourne - North East,Darebin (C),Sub-Arterial Road,No,No,75_or_older,Night
4239,20171322,NSW,2017-08,Sunday,19:45:00,Single,No,No,No,Car driver,Male,34,122,11,Major Cities of Australia,Richmond - Tweed,Tweed,Sub-Arterial Road,No,No,26_to_39,Night
4240,20175034,WA,2017-08,Friday,20:40:00,Single,No,No,No,Car passenger,Female,38,20,12,Very Remote Australia,Western Australia - Outback (North),Broome (S),National or State Highway,No,No,26_to_39,Night
4241,20174087,SA,2017-08,Saturday,4:10:00,Single,No,No,No,Car driver,Male,26,97,6,Inner Regional Australia,South Australia - South East,Alexandrina (DC),Collector Road,No,No,26_to_39,Night
4242,20174087,SA,2017-08,Saturday,4:10:00,Single,No,No,No,Car passenger,Female,21,0,6,Inner Regional Australia,South Australia - South East,Alexandrina (DC),Collector Road,No,No,17_to_25,Night
